state,hospital,LHN,remoteness,beds,peer_group,ED,ES,NAP,hospital name,Phone_ number,Street _address,Suburb,Postcode,State_add,Latitude,Longitude
NSW,Fairfield,South Western Sydney,Major Cities,197.4,Public acute group B,Yes,Yes,Yes,Fairfield Hospital,02 9616 8111,Corner of Polding Street and Prairie Vale Road,Prairiewood,2176,NSW,-33.860117,150.904339
NSW,Finley,Murrumbidgee,Inner Regional,16,Public acute group D,Yes,No,Yes,Finley Hospital,03 5883 1133,20-22 Dawe Avenue,Finley,2713,NSW,-35.641725,145.568139
NSW,Forbes,Western NSW,Outer Regional,33.1,Public acute group C,Yes,Yes,Yes,Forbes - Lachlan Health Service,02 6850 7100,4-6 Elgin St,Forbes,2871,NSW,-33.39574,148.01365
NSW,Gilgandra (MPS),Western NSW,Outer Regional,25.2,Public acute group D,Yes,No,Yes,Gilgandra Multi Purpose Service,02 6880 5900,6 Chelmsford Avenue,Gilgandra,2827,NSW,-31.704565,148.664889
NSW,Glen Innes,Hunter New England,Outer Regional,37.3,Public acute group C,Yes,Yes,Yes,Glen Innes Hospital,02 6739 0200,94 Taylor Street,Glen Innes,2370,NSW,-29.733293,151.731673
NSW,Gloucester,Hunter New England,Inner Regional,22.3,Public acute group C,Yes,Yes,Yes,Gloucester Hospital,02 6538 5000,166-182 Church Street,Gloucester,2422,NSW,-32.014787,151.958556
NSW,Goodooga,Western NSW,Very Remote,,Outpatient hospital,No,No,Yes,Goodooga Health Service,02 6820 6200,49 Hammond Street,Goodooga,2831,NSW,-29.110249,147.456114
NSW,Gosford,Central Coast,Major Cities,552.4,Public acute group A,Yes,Yes,Yes,Gosford Hospital,02 4320 2111,76 Holden Street,Gosford,2250,NSW,-33.419451,151.340328
NSW,Goulburn,Southern NSW,Inner Regional,135,Public acute group B,Yes,Yes,Yes,Goulburn Hospital,02 4827 3111,130 Goldsmith Street,Goulburn,2580,NSW,-34.747527,149.712806
NSW,Gower Wilson (MPS),South Eastern Sydney,Very Remote,,Very small,No,No,Yes,Gower Wilson Multi Purpose Service,02 6563 2000,Lagoon Road,Lord Howe Island,2898,NSW,-31.535603,159.071307
NSW,Grafton,Northern NSW,Inner Regional,93.3,Public acute group B,Yes,Yes,Yes,Grafton Base Hospital,02 6640 2222,184 Arthur St,Grafton,2460,NSW,-29.66841,152.94199
NSW,Greenwich,Northern Sydney,Major Cities,38.2,Mixed subacute and non-acute,No,No,Yes,Greenwich Hospital,02 9903 8333,97-115 River Road,Greenwich,2065,NSW,-33.827329,151.183376
NSW,Grenfell (MPS),Western NSW,Outer Regional,40.5,Very small,Yes,No,Yes,Grenfell Multi Purpose Service,02 6349 1700,80-96 Cowra Road,Grenfell,2810,NSW,-33.894286,148.167843
NSW,Griffith,Murrumbidgee,Outer Regional,92.9,Public acute group A,Yes,Yes,Yes,Griffith Hospital,02 6969 5555,1 Noorebar Avenue,Griffith,2680,NSW,-34.282121,146.043774
NSW,Gulargambone (MPS),Western NSW,Outer Regional,9.9,Very small,No,No,Yes,Gulargambone Multi Purpose Service,02 6827 4200,47 Bourbah Street,Gulargambone,2828,NSW,-31.329812,148.469216
NSW,Gulgong (MPS),Western NSW,Outer Regional,4,Outpatient hospital,Yes,No,Yes,Gulgong Multi Purpose Service,02 6374 3400,34 Goolma Road,Gulgong,2852,NSW,-32.366871,149.521893
NSW,Gundagai (MPS),Murrumbidgee,Inner Regional,29.9,Public acute group D,Yes,No,Yes,Gundagai Hospital,02 6940 6300,50 Tor Street,Gundagai,2722,NSW,-35.051394,148.101764
NSW,Gunnedah,Hunter New England,Outer Regional,38.1,Public acute group C,Yes,Yes,Yes,Gunnedah Hospital,02 6741 8000,2 Marquis Street,Gunnedah,2380,NSW,-30.983146,150.251339
NSW,Guyra (MPS),Hunter New England,Outer Regional,22,Public acute group D,Yes,No,Yes,Guyra Multi Purpose Service,02 6738 4000,44-48 Sole Street,Guyra,2365,NSW,-30.213889,151.679112
NSW,Hawkesbury,Nepean Blue Mountains,Major Cities,97,Public acute group B,Yes,Yes,Yes,Hawkesbury Hospital,02 4560 5555,2 Day Street,Windsor,2756,NSW,-33.610712,150.820804
NSW,Hay,Murrumbidgee,Outer Regional,26.8,Public acute group D,Yes,No,Yes,Hay Hospital,02 6990 8700,351 Murray Street,Hay,2711,NSW,-34.500349,144.851433
NSW,Henty (MPS),Murrumbidgee,Inner Regional,15,Very small,Yes,No,Yes,Henty Multi Purpose Service,02 6929 4999,7 Keighran Street,Henty,2658,NSW,-35.515801,147.031847
NSW,Hillston (MPS),Murrumbidgee,Remote,5,Public acute group D,Yes,No,Yes,Hillston Hospital,02 6961 7200,48C Burns Street,Hillston,2675,NSW,-33.478793,145.539032
NSW,Holbrook (MPS),Murrumbidgee,Inner Regional,31.9,Public acute group D,Yes,No,Yes,Holbrook Hospital,02 6036 2522,Bowler Street,Holbrook,2644,NSW,-35.723991,147.320276
NSW,Hornsby and Ku-Ring-Gai,Northern Sydney,Major Cities,252.8,Public acute group A,Yes,Yes,Yes,Hornsby Ku-ring-gai Hospital,02 9477 9123,36-76 Palmerston Road,Hornsby,2077,NSW,-33.701448,151.112941
NSW,Hunter New England Mater Mental Health Service,Hunter New England,Major Cities,117.7,Psychiatric,No,No,Yes,Hunter New England Mater Mental Health Service,02 4033 5000,Edith Street,Waratah,2298,NSW,-32.897873,151.720669
NSW,Illawarra Mental Health Services,Illawarra Shoalhaven,Major Cities,,Unpeered,No,No,No,Illawarra Mental Health Services,02 4254 1500,1-5 Atchison St,Wollongong,2500,NSW,-34.42623,150.891252
NSW,Inverell,Hunter New England,Outer Regional,49.2,Public acute group C,Yes,Yes,Yes,Inverell Hospital,02 6721 9500,41 Swanbrook Road,Inverell,2360,NSW,-29.770728,151.130139
NSW,Ivanhoe,Far West,Very Remote,,Outpatient hospital,Yes,No,Yes,Ivanhoe Hospital,02 6990 2200,11 Columbus Street,Ivanhoe,2878,NSW,-32.898193,144.298904
NSW,Jerilderie (MPS),Murrumbidgee,Outer Regional,15,Public acute group D,Yes,No,Yes,Jerilderie Multi Purpose Service,03 5886 1300,33-39 Southey Street,Jerilderie,2716,NSW,-35.356628,145.720596
NSW,John Hunter,Hunter New England,Major Cities,878.9,Principal referral,Yes,Yes,Yes,John Hunter Hospital,02 4921 3000,Lookout Road,New Lambton,2305,NSW,-32.922177,151.692438
NSW,Junee (MPS),Murrumbidgee,Inner Regional,38,Public acute group D,Yes,No,Yes,Junee Multi Purpose Service,02 6924 8200,67 Broadway Street,Junee,2663,NSW,-34.866914,147.581314
NSW,Justice Health,Justice Health & Forensic Mental Health,Major Cities,308.6,Psychiatric,No,No,Yes,Justice Health Services,02 9700 3000,1300 Anzac Parade,Malabar,2036,NSW,-33.96907,151.243206
NSW,Karitane Mothercraft Society,South Western Sydney,Major Cities,6.3,Early parenting centres,No,No,Yes,Karitane Mothercraft Society,02 9794 2300,Corner of The Horsley Drive and Mitchell Street,Carramar,2163,NSW,-33.879777,150.965763
NSW,Kenmore,Southern NSW,Inner Regional,22.5,Psychiatric,No,No,No,Kenmore Hospital,02 4827 3303,Taralga Road,Kenmore,2580,NSW,-34.721253,149.751344
NSW,Kiama,Illawarra Shoalhaven,Inner Regional,0,Mixed subacute and non-acute,No,No,Yes,Kiama Hospital,02 4233 1033,Bonaira Street,Kiama,2533,NSW,-34.682937,150.850514
NSW,Kurri Kurri,Hunter New England,Major Cities,57,Public acute group C,Yes,Yes,Yes,Kurri Kurri Hospital,02 4936 3200,432 Lang Street,Kurri Kurri,2327,NSW,-32.825017,151.463018
NSW,Kyogle (MPS),Northern NSW,Inner Regional,40,Public acute group D,Yes,No,Yes,Kyogle Multi Purpose Service,02 6632 1522,199 Summerland Way,Kyogle,2474,NSW,-28.627124,153.001742
NSW,Lake Cargelligo (MPS),Murrumbidgee,Remote,22,Public acute group D,Yes,No,Yes,Lake Cargelligo Multi Purpose Service,02 6898 1200,Uabba Street,Lake Cargelligo,2672,NSW,-33.292027,146.374304
NSW,Leeton,Murrumbidgee,Outer Regional,63,Public acute group C,Yes,No,Yes,Leeton Hospital,02 6953 1111,1 Myall Street,Leeton,2705,NSW,-34.545222,146.408831
NSW,Lightning Ridge (MPS),Western NSW,Remote,23.4,Public acute group D,Yes,No,Yes,Lightning Ridge Multi Purpose Service,02 6829 9999,Lot 25 Pandora Street,Lightning Ridge,2834,NSW,-29.429973,147.981869
NSW,Lismore,Northern NSW,Inner Regional,258.2,Public acute group A,Yes,Yes,Yes,Lismore Hospital,02 6621 8000,60 Uralba Street,Lismore,2480,NSW,-28.809191,153.291045
NSW,Lithgow,Nepean Blue Mountains,Inner Regional,38.7,Public acute group C,Yes,Yes,Yes,Lithgow Hospital,02 6350 2300,2 Col Drewe Drive,Lithgow,2790,NSW,-33.498751,150.127701
NSW,Liverpool,South Western Sydney,Major Cities,814.8,Principal referral,Yes,Yes,Yes,Liverpool Hospital,02 9828 3000,Lot 2 Elizabeth Street,Liverpool,2170,NSW,-33.919966,150.930776
NSW,Lockhart (MPS),Murrumbidgee,Outer Regional,4.6,Public acute group D,Yes,No,Yes,Lockhart Hospital,02 6930 7100,53-55 Hebden Street,Lockhart,2656,NSW,-35.222378,146.719064
NSW,Long Jetty,Central Coast,Major Cities,15,Mixed subacute and non-acute,No,No,Yes,Long Jetty Health Care Centre,02 4336 7700,Wyong Road,Killarney Vale,2261,NSW,-33.369012,151.468538
NSW,Lourdes Dubbo,Western NSW,Inner Regional,29.3,Rehabilitation and GEM,No,No,Yes,Lourdes Hospital Dubbo,02 6841 8500,80-110 Cobbora Road,Dubbo,2830,NSW,-32.238511,148.627361
NSW,Macksville,Mid North Coast,Outer Regional,27.7,Public acute group C,Yes,Yes,Yes,Macksville Hospital,02 6568 0666,14-22 Boundary Street,Macksville,2447,NSW,-30.713725,152.919838
NSW,Maclean,Northern NSW,Inner Regional,43.9,Public acute group C,Yes,No,Yes,Maclean Hospital,02 6640 0111,21 Union Street,Maclean,2463,NSW,-29.454219,153.201094
NSW,Macleay Valley - Kempsey,Mid North Coast,Inner Regional,66.9,Public acute group B,Yes,Yes,Yes,Macleay Valley - Kempsey District Hospital,02 6561 2600,119 River St,Kempsey,2440,NSW,-31.06735,152.82005
NSW,Macquarie,Northern Sydney,Major Cities,193.3,Psychiatric,No,No,No,Macquarie Hospital,02 9888 1222,1 Wicks Road,North Ryde,2113,NSW,-33.802312,151.124818
NSW,Maitland,Hunter New England,Major Cities,178.6,Public acute group B,Yes,Yes,Yes,Maitland Hospital,02 4939 2000,550-560 High Street,Maitland,2320,NSW,-32.726723,151.545887
NSW,Manilla (MPS),Hunter New England,Outer Regional,42.1,Public acute group D,Yes,No,Yes,Manilla Hospital,02 6785 4000,143 Court Street,Manilla,2346,NSW,-30.745717,150.732249
NSW,Manly,Northern Sydney,Major Cities,,Public acute group A,No,No,Yes,Manly Hospital,02 9976 9611,150 Darley Road,Manly,2095,NSW,-33.806065,151.294387
NSW,Manning,Hunter New England,Inner Regional,189.2,Public acute group A,Yes,Yes,Yes,Manning Hospital,02 6592 9111,26 York Street,Taree,2430,NSW,-31.910418,152.454485
NSW,Menindee Health Service,Far West,Very Remote,,Outpatient hospital,Yes,No,Yes,Menindee Health Service,08 8091 4209,Perry Street,Menindee,2879,NSW,-32.390335,142.414869
NSW,Mercy Care Centre Albury,Murrumbidgee,Inner Regional,30,Mixed subacute and non-acute,No,No,Yes,Mercy Care Hospital - Albury,02 6042 1400,550 Poole Street,Albury,2640,NSW,-36.069221,146.916764
NSW,Mercy Care Centre Young,Murrumbidgee,Inner Regional,26,Mixed subacute and non-acute,No,No,Yes,Mercy Care Hospital - Young,02 6382 8444,69 Demondrille Street,Young,2594,NSW,-34.321003,148.288693
NSW,Merriwa (MPS),Hunter New England,Outer Regional,23,Very small,Yes,No,Yes,Merriwa Multi Purpose Service,02 6532 5000,MacKenzie Street,Merriwa,2329,NSW,-32.142714,150.361316
NSW,Milton and Ulladulla,Illawarra Shoalhaven,Inner Regional,30.8,Public acute group C,Yes,Yes,Yes,Milton Ulladulla Hospital,02 4455 1333,104-106 Princes Highway,Milton,2538,NSW,-35.317313,150.438918
NSW,Molong,Western NSW,Inner Regional,10,Public acute group D,Yes,No,Yes,Molong Health Service,02 6392 3300,King Street,Molong,2866,NSW,-33.087622,148.859724
NSW,Mona Vale,Northern Sydney,Major Cities,67.4,Public acute group A,No,No,Yes,Mona Vale Hospital,02 9998 0333,Coronation Street,Mona Vale,2103,NSW,-33.685353,151.306618
NSW,Moree,Hunter New England,Outer Regional,38.3,Public acute group C,Yes,Yes,Yes,Moree Hospital,02 6757 0000,Alice Street,Moree,2400,NSW,-29.470678,149.839648
